,,МОЩНОСТЬ,КРУТ.МОМ.,СКОРОСТЬ,РАЗГОН,УПРАВЛ,ПРОХОД,МЕТКИ,Цена,НАЛИЧИЕ В САЛОНЕ
В,,"0,9",1,"0,5","1,1","0,8","1,2",,,
Porsche	          911 Turbo,,260,345,250,6,88,34,класс  C            купе               Германия                      70                               3                        widow maker,27 000 /,2
Г,,1,1,"1,2","1,2",1,"0,8",,,
Lamborghini	Countach LP 400,,375,368,316,"5,5",85,28,класс D             купе               Италия                      70                               3,40 000 /,2
Г,,"0,9","1,1","1,1",1,1,"0,8",,,
Ferrari	              365 GTB/4 Daytona Competizione,,430,461,310,"4,2",99,24,класс D             купе               Италия                      70                               4                 автоспорт             коллекция,50 000 /,2
Г,,"0,7","0,7",1,"0,4",1,"0,8",,,
,ГАММА,,,,,,,,,
Renault	              15 TL,,60,91,157,16,50,49,класс A             хэтчбек               Франция                       70                             1,6700 /,5
У,,"0,7","0,9","0,9","2,2",1,"0,8",,,
Ford                   Capri,,125,183,190,"9,7",55,51,класс   B          хэтчбек               США                      70                               1,9000 /,5
У,,"0,9",1,"0,8","1,5",1,1,,,
Ford 	   Mustang II,,141,339,179,"10,3",46,40,класс   B           купе              США                       70                             1,11 400 /,5
У,,"0,9","0,9","0,8","1,9",1,"0,8",,,
BMW	          2002 Tii,,130,178,193,"8,4",69,40,класс  B            купе               Германия                     70                               3               автоспорт,16 000 /,2
Г,,"0,9","0,8","0,8","1,5",1,"0,8",,,
Chevrolet	     Camaro Z28,,245,380,204,"6,8",55,36,класс   C          купе              США                      70                              2                               muscle car,19 000 /,2
Г,,"0,9",1,1,"1,2",1,"0,8",,,
Porsche                   911,,165,248,220,"6,8",88,34,класс  B            купе               Германия                      70                               2,20 000 /,2
Г,,"0,9",1,"1,1","1,2",1,"0,8",,,
Lamborghini	Urraco P300,,265,274,254,"7,6",82,36,класс C             купе               Италия                      70                              2,28 000 /,2
Г,,1,"1,1","1,2","1,4",1,"0,8",,,
Chevrolet	      Nickey  Camaro LT L88 Stage III,,430,551,238,"5,7",72,34,класс  D           купе              США                      70                              5                               muscle car                          коллекция,39 600 /,1
Г,,"0,8","0,7","1,2",1,"0,8","0,8",,,
Porsche	              917 Road Car,,600,563,350,3,89,17,класс  R            купе               Германия                     70                               4                  автоспорт                            widow maker,50 000 /,2
С,,"0,9","0,9",1,"0,6","1,4","0,6",,,
,ДЕЛЬТА,,,,,,,,,
BMW	           1602,,85,123,160,"14,4",61,41,класс A             купе               Германия                     70                               1,7800 /,5
У,,"0,7","0,9","0,9","2,4","0,8","0,8",,,
Ford            	Escort RS2000,,109,153,179,"8,9",58,36,класс B             США               Германия                     70                              2,8200 /,2
Г,,"0,9","0,9","0,8","1,3",1,"0,8",,,
Citroen	              CX 2200,,112,167,179,"11,7",70,65,класс  B           хэтчбек               США                      70                               2                           комфорт,11 500 /,2
У,,"0,8","0,9","0,7","1,8","0,7",1,,,
Renault	Marcadier Savane,,45,82,127,"21,8",45,80,класс  A            внедорожник               Франция                     70                               4                                 коллекция,14 000 /,2
В,,"0,7","0,9","0,7","1,7","0,8",1,,,
BMW	          3.0 CS,,200,286,220,"7,3",68,45,класс B           купе              Германия                      70                               2,19 100 /,2
У,,"0,9","0,7",1,"1,3",1,"0,8",,,
Ford 	          Capri II 3000 GT,,130,235,195,"9,5",60,49,класс B             хэтчбек               США                    70                               4               автоспорт,19 400 /,2
Г,,"0,8","0,9",1,"1,8",1,"0,8",,,
Ferrari	             Dino 308 GT4,,265,274,254,"7,6",82,36,класс  C            купе               Италия                      70                              2,29 000 /,2
Г,,1,"0,9","1,1","1,5",1,"0,8",,,
Chevrolet	 Corvette Stingray LS4 454,,430,644,243,"5,5",69,36,класс  D           купе              США                      70                              3                        widow maker,36 800 /,2
Г,,"0,8","0,7","1,3",1,"0,8","0,8",,,
,1976,,,,,,,,,
,АЛЬФА,,,,,,,,,
Renault	             4 PickUp,,36,55,115,24,31,62,класс   A           хэтчбек               Франция                       70                             1,5000 /,5
У,,"0,7","0,9","0,7","1,8","0,7","1,2",,,
Renault	               4 GTL Sinpar 4x4,,34,52,110,26,26,113,класс A             хэтчбек               Франция                       70                             1,8500 /,5
У,,"0,7","0,8","0,6","2,2","0,8",1,,,
Renault	                5 Alpine,,94,115,172,"10,7",50,38,класс  A            хэтчбек               Франция                       70                             2,9000 /,4
У,,"0,6","0,8","0,9","1,6","1,2","0,8",,,
BMW 530,,165,238,198,"9,5",55,47,класс  B            седан               Германия                      70                             2,13 800 /,4
У,,"0,9",1,"0,8","1,7",1,1,,,
Chevrolet	         Monte Carlo,,180,393,211,"10,1",39,38,класс   B           купе              США                       70                            2                комфорт,14 000 /,4
У,,"0,9","0,8",1,"1,8",1,"0,8",,,
Ford               Bronco 4.7,,152,328,154,17,28,185,класс C             внедорожник               США                      70                               2,19 900 /,4
В,,"0,9",1,"0,6","1,4","0,8",1,,,
Porsche                   911,,175,266,229,"6,5",88,34,класс   C           купе               Германия                      70                               2,20 000 /,4
Г,,"1,1","1,2","1,2","1,3",1,"0,8",,,
Ford 	    Escort RS1800 Rally Car,,275,217,225,"5,8",68,68,класс C             купе               США                      70                               4                      автоспорт,29 500 /,2
В,,"0,9",1,1,"1,2",1,1,,,
Ferrari	          400,,310,404,245,7,82,40,класс C             купе               Италия                      70                               3                               комфорт,33 000 /,2
У,,1,1,1,"1,4","0,8","0,8",,,
Porsche	              911 Carrera RSR Turbo 2.1,,480,577,300,"4,3",97,20,класс E              купе               Германия                     70                               5                        автоспорт,48 600 /,1
С,,"0,8","0,9",1,"0,7","1,4","0,6",,,
BMW                     CSL  Art Car by Frank Stella,,750,588,341,"3,4",78,25,класс E             купе               Германия                     70                               5                       коллекция             widow maker              автоспорт,50 000 /,1
С,,"0,4","0,7","0,8","0,5",1,"0,6",,,
,БЕТА,,,,,,,,,
Renault               	5,,45,89,142,21,47,43,класс A             хэтчбек               Франция                       70                             1,5200 /,4
У,,"0,6","0,8","0,9","2,5",1,"0,8",,,
Citroen	             FAF,,29,38,116,32,33,109,класс  A            внедорожник               Франция                     70                               1,8300 /,4
В,,"0,7",1,"0,6","2,2","0,7","1,2",,,
BMW	          316 Coupe,,90,125,160,"13,8",75,38,класс A             купе               Германия                     70                               1,10 000 /,4
У,,"0,9","0,8","0,9","1,9","0,8","0,8",,,
Chevrolet 	Camaro Rally Sport,,165,334,187,11,59,40,класс B             купе              США                       70                            2,13 000 /,4
У,,1,1,"1,1",2,1,"0,8",,,
Chevrolet	         Monza Super Spyder II,,184,340,180,"8,6",55,40,класс   B           купе              США                       70                            2,14 300 /,4
Г,,"0,8","0,9","1,2","1,6",1,"0,8",,,
Chevrolet	              K5 Blazer Cheyenne,,170,353,145,"13,6",27,158,класс  B            внедорожник               США                      70                               2,19 700 /,4
В,,"0,8","0,9","0,5",1,"0,7","1,2",,,
Porsche	        911 Carrera 2.7,,200,280,234,"6,3",88,34,класс  C            купе               Германия                      70                               2,22 400 /,4
Г,,"1,1","1,2","1,2","1,3",1,"0,8",,,
Lamborghini	Silhouette,,265,275,246,"5,8",91,31,класс C             купе               Италия                      70                              2,28 000 /,4
Г,,1,"1,1",1,1,1,"0,8",,,
"Chevrolet	  Corvette ""CC Vett"" Roadster",,364,521,250,"6,2",65,38,класс C             купе               США                      70                               5,38 000 /,1
Г,,"0,9",1,"0,9",1,1,"0,8",,,
Lamborghini	Countach SS MARDIKIAN,,510,440,330,4,90,23,класс  E            купе               Италия                      70                               5                      коллекция,45 000 /,1
Г,,1,1,"0,9","0,5","1,2","0,6",,,
,ГАММА,,,,,,,,,
Ford 	       Fiesta,,40,65,131,"19,7",50,35,класс  A            хэтчбек               США                       70                             1,5200 /,4
У,,"0,7","0,9","0,9","2,4",1,"0,8",,,
Renault	              17,,109,126,175,11,54,47,класс A             хэтчбек               Франция                       70                             1,7500 /,4
У,,"0,7","0,8","0,8","1,9",1,"0,8",,,
BMW	          2500,,150,211,195,"10,4",57,42,класс  B            седан               Германия                     70                               2                           комфорт,11 800 /,4
У,,"0,9",1,"0,8","1,6",1,1,,,
Porsche	                 914,,100,160,197,"8,8",88,33,класс  B            купе               Германия                     70                               1,13 000 /,4
У,,"0,7","0,8","0,5","1,4",1,"0,8",,,
Porsche	           924,,125,165,204,"9,5",73,38,класс B             хэтчбек               Германия                     70                               2,14 700 /,4
У,,"0,8","0,9","1,2","1,8",1,"0,8",,,
BMW	             633 CSi,,197,284,215,"7,9",71,40,класс B            купе              Германия                      70                               2,19 500 /,4
Г,,"1,1",1,"1,2","1,3",1,"0,8",,,
Renault	        Alpine A 110 1800 S Group 4,,185,195,252,"5,3",92,60,класс  C            купе               Франция                      70                               4                      автоспорт,24 000 /,2
У,,"0,9",1,1,1,1,"0,8",,,
Chevrolet	   Corvette Stingray Turbovette,,355,501,240,"6,4",65,38,класс  C            купе               США                      70                               3,27 200 /,2
Г,,"0,9",1,"0,9",1,1,"0,8",,,
Ferrari             	512 BB,,340,451,280,"5,5",97,28,класс   D           купе               Италия                      70                               3,39 000 /,2
Г,,"1,2",1,"1,3",1,"1,2","0,8",,,
Porsche	          911 Turbo RS,,360,399,275,"5,7",96,28,класс  D            купе               Германия                     70                               5                        коллекция,44 400 /,1
С,,"0,8",1,"1,1","1,2","1,2","0,6",,,
,ДЕЛЬТА,,,,,,,,,
Renault	           15 GTL,,60,91,154,"15,8",52,49,класс   A           хэтчбек               Франция                       70                             1,6300 /,4
У,,"0,7","0,9","0,9","2,2",1,"0,8",,,
Renault	             12 TS,,60,99,160,"16,2",51,45,класс A             хэтчбек               Франция                       70                             1,6600 /,4
У,,"0,8","0,9","0,8","2,4","0,8","0,8",,,
Ford 	     Mustang II Cobra II,,136,335,167,"9,6",49,40,класс  B            купе              США                       70                             2,12 800 /,4
Г,,"0,9","1,2",1,"1,7",1,"0,8",,,
Renault	      Alpine A 310,,150,170,220,8,88,34,класс   B           купе               Франция                     70                              2,13 000 /,4
Г,,"0,8",1,"1,2","1,7",1,"0,8",,,
Ford 	            LTD Brougham Sedan,,158,374,166,14,38,42,класс  B            седан              США                       70                            2                комфорт,14 800 /,4
У,,"1,1","0,8",1,"2,2",1,1,,,
BMW	             3.3 Li,,200,285,208,"8,5",57,46,класс B            седан              Германия                      70                               2                               комфорт,19 000 /,4
У,,1,1,"0,9","1,5",1,1,,,
Ferrari	           308,,255,285,249,"6,3",87,34,класс C             купе               Италия                      70                              3,25 000 /,2
Г,,1,"0,9","1,1","1,4",1,"0,8",,,
Ford 	       Escort RS DRM Group 5,,275,260,250,"4,2",73,22,класс  C            купе               США                      70                               4                      автоспорт,29 400 /,2
С,,"0,9",1,"0,9","0,6",1,"0,8",,,
BMW	          3.0 CSL Race Car,,324,369,282,"4,8",76,25,класс  D            купе               Германия                     70                               5                     автоспорт,40 200 /,1
С,,1,1,1,1,"1,2","0,8",,,
Chevrolet	   Aerovette,,420,400,285,"4,5",70,28,класс   D           купе               США                      70                               5                       коллекция,43 800 /,1
Г,,1,"1,4","1,2","0,7",1,"0,8",,,
Lamborghini	Miura SVR,,400,445,297,"4,3",100,23,класс   D           купе               Италия                    70                               5                        коллекция,49 000 /,1
Г,,"0,8","0,9","1,3","0,6",1,"0,8",,,
,1978,,,,,,,,,
,АЛЬФА,,,,,,,,,
Ford 	       Fiesta,,55,80,145,"16,1",50,35,класс  А            хэтчбек               США                       70                             1,5500 /,5
У,,"0,7","0,9","0,9","2,4",1,"0,8",,,
Renault	            30 TX,,86,160,160,"15,4",47,40,класс  А            хэтчбек               Франция                       70                             2                    комфорт,9000 /,4
У,,"0,8","0,8","0,8",2,"0,8",1,,,
Chevrolet  	Impala Sedan,,145,325,159,"15,3",39,38,класс   В           седан               США                     70                              1                           комфорт,11 100 /,5
У,,1,"0,8","0,8",2,1,1,,,
Ford 	      F-100 Pickup,,220,410,155,"12,9",24,115,класс  В            внедорожник               США                     70                               2,21 000 /,4
В,,"0,6","0,9","0,5","0,8","0,7",1,,,
Chevrolet	 Suburban,,190,407,166,11,25,166,класс  С            внедорожник               США                     70                               2,22 000 /,4
У,,1,1,"0,6","1,2","0,7",1,,,
Ford 	  Mustang II Cobra II Monroe Handler,,400,566,256,"4,6",60,35,класс  D           купе              США                      70                              5                               muscle car,38 500 /,1
С,,1,"1,1","1,1","0,9",1,"0,8",,,
Porsche	          911 Safari Rally,,300,380,240,"5,4",96,67,класс   D           купе               Германия                      70                              5                              автоспорт,38 800 /,1
В,,"0,8","0,8","1,1",1,1,1,,,
"Porsche	         935/78 ""Moby Dick""",,750,734,366,3,79,10,класс  R            купе               Германия                      70                              5                              автоспорт              widow maker,50 000 /,1
С,,"0,7","0,6","0,7","0,5","1,4","0,6",,,
,БЕТА,,,,,,,,,
Ford 	         Fiesta Turbo,,84,97,170,11,51,35,класс  A            хэтчбек               США                       70                             1,6600 /,5
Г,,"0,7","0,9","0,8","1,6",1,"0,8",,,
Ford 	       Escort RS2000,,112,161,180,"8,8",61,36,класс  B            хэтчбек               США                       70                             1,8200 /,5
Г,,"0,9",1,"0,8","1,5",1,1,,,
Ford 	Thunderbird,,166,433,182,11,43,43,класс  B           купе              США                       70                            2,14 000 /,4
У,,"0,8","0,9","0,8","1,8","0,8",1,,,
Porsche	         924 Martini Edition,,125,165,204,"9,5",85,37,класс  B            хэтчбек               Германия                      70                               4                       коллекция,20 000 /,2
Г,,"0,8",1,"1,2","1,8",1,"0,8",,,
Porsche	           928,,240,363,229,"7,5",79,38,класс  C           хэтчбек              Германия                      70                               2                               комфорт,24 000 /,4
У,,"0,8","0,7","1,2","1,4","1,2","0,8",,,
Lamborghini        Countach LP 400S,,375,361,293,"5,1",89,26,класс  D            купе               Италия                      70                               3,35 000 /,3
Г,,1,"1,1","1,1",1,1,"0,8",,,
Ford 	         Capri Turbo DRM Group 5,,380,294,290,"4,2",83,20,класс  D            купе              США                      70                              5                              автоспорт,39 900 /,1
С,,"0,7",1,1,"0,8","1,2","0,6",,,
Ferrari	       512 BB LM,,470,518,325,"4,2",112,14,класс E             купе               Италия                      70                              5                              автоспорт,47 000 /,1
Г,,"1,2","0,9","0,9","0,5","1,2","0,6",,,
Chevrolet	   Corvette Turbine,,880,779,297,"3,3",71,30,класс   R           купе               США                      70                              5                              widow maker                 коллекция,50 000 /,1
Г,,"0,7","0,8","0,9","0,5",1,"0,8",,,
,ГАММА,,,,,,,,,
Renault	               18,,73,118,155,"14,8",45,45,класс  A            седан               Франция                       70                             1,7000 /,5
У,,"0,7","0,8","0,8","1,9",1,"0,8",,,
Ford 	          Capri,,100,157,182,"10,5",59,48,класс  A            хэтчбек               США                       70                             1,8000 /,5
У,,1,1,"0,9","1,6","0,8","0,8",,,
Chevrolet	        Monza Mirage,,157,299,190,"9,6",73,33,класс  B           купе              США                      70                             3,14 800 /,3
Г,,"0,9","0,9","1,1","1,8",1,"0,8",,,
Porsche                   911,,188,275,232,"6,4",90,34,класс   C           купе               Германия                      70                               2,20 000 /,4
Г,,"1,1","1,2","1,2","1,3",1,"0,8",,,
Citroen	           CX 2400 GTi Rally Car,,185,242,239,"6,5",85,68,класс  C           хэтчбек              Франция                      70                               5                               автоспорт,29 000 /,1
В,,"0,8","0,9","0,7","1,2","0,8","1,2",,,
Chevrolet	 Corvette Stingray Roadster ''Corvette Summer'',,355,501,240,"6,4",65,28,класс C            купе              США                      70                              5                               коллекция,33 000 /,1
Г,,1,"0,9","1,3",1,1,"0,8",,,
Porsche	             911 Carrera RSR 3.0 Coupe,,330,402,280,5,100,22,класс  D            купе               Германия                      70                              4                              автоспорт,40 000 /,2
С,,"0,8",1,"1,1","1,2","1,2","0,6",,,
BMW	             2002 Turbo Deutsche Rundstreckenmeisterschaft,,400,340,265,"4,1",83,13,класс D             купе               Германия                      70                              5                              автоспорт,44 200 /,1
С,,1,1,"1,2","0,8","1,2","0,6",,,
,ДЕЛЬТА,,,,,,,,,
Chevrolet	 Chevette Turbo Rally,,75,140,175,"11,1",67,46,класс  A            хэтчбек               США                       70                             1,7700 /,5
У,,"0,9","0,8","0,8","1,9","0,8","0,8",,,
Citroen	        Mehari,,29,39,121,30,33,137,класс  A            внедорожник               Франция                     70                               1,8000 /,5
В,,"0,6","0,9","0,5",2,"0,7","1,2",,,
Renault	             5 Alpine Rally Car,,140,158,200,8,69,60,класс   B           хэтчбек               Франция                       70                            3                          автоспорт                           hot hatch,15 900 /,3
У,,"0,8","0,9","0,8","1,6",1,"0,8",,,
BMW	         733i,,197,285,205,"8,9",54,44,класс B            седан              Германия                      70                               2                               комфорт,19 200 /,4
У,,1,1,"0,9","1,5",1,1,,,
Lamborghini	Cheetah,,180,360,170,12,20,148,класс  B            внедорожник               Италия                      70                               5                      коллекция,30 000 /,1
В,,1,1,"0,6","1,4","0,7",1,,,
BMW	               3 Series Group 5,,300,333,256,"4,9",88,17,класс  C            купе               Германия                      70                              4                              автоспорт,32 800 /,2
С,,1,"0,9",1,"0,8",1,"0,6",,,
"Porsche	        935-02 ""Baby""",,370,410,294,"4,4",103,23,класс  D            купе               Германия                      70                              5                              автоспорт,43 600 /,1
Г,,1,1,"1,1",1,"1,4","0,6",,,
Ferrari	            365 GT4 Berlinetta Boxer Competizione,,380,432,285,5,94,24,класс  D            купе               Италия                      70                              5                              автоспорт,44 000 /,1
Г,,"1,1",1,"1,1",1,"1,4","0,6",,,
,1980,,,,,,,,,
,АЛЬФА,,,,,,,,,
Renault               	5,,58,102,153,"17,8",50,43,класс  A            хэтчбек               Франция                       80                             1,5000 /,4
У,,"0,7","0,8","0,9","2,3",1,"0,8",,,
Renault	            30 TX,,125,150,175,"12,5",47,40,класс A            хэтчбек               Франция                       80                             2                    комфорт,9300 /,3
У,,"0,7","0,8","0,8","2,2","0,8",1,,,
Renault	              18 Turbo MT,,127,181,195,10,50,42,класс  B            седан               Франция                       80                            2,10 200 /,3
У,,"0,8","0,8","0,8","1,8",1,"0,8",,,
Porsche          	924 Turbo,,177,250,229,"7,7",75,36,класс B            хэтчбек               Германия                     80                               2                          hot hatch,16 800 /,3
Г,,"0,9","0,9","1,2","1,6",1,"0,8",,,
Chevrolet                    K10,,160,339,158,"12,4",27,175,класс  C            внедорожник               США                     80                               2,17 000 /,3
У,,"0,8",1,"0,6","1,2","0,8",1,,,
BMW	       Alpina B7 Turbo,,296,462,250,"6,5",58,41,класс C            седан              Германия                      80                               3                               комфорт,28 400 /,2
Г,,"1,2","0,8","0,9","1,4",1,1,,,
Porsche	           911 Turbo,,300,431,261,5,90,34,класс D             купе               Германия                      80                               3                         widow maker,29 900 /,2
Г,,"1,1","1,1","1,1",1,"1,4","0,8",,,
BMW	      March M1,,700,586,341,"3,3",94,17,класс R             купе               Германия                     80                               5                    автоспорт,49 000 /,1
С,,"0,7","0,5","0,8","0,4","1,6","0,8",,,
,БЕТА,,,,,,,,,
Ford 	       Fiesta,,66,94,158,"12,3",50,35,класс  A            хэтчбек               США                       80                             1,6000 /,4
У,,"0,7","0,9","0,8",2,1,"0,8",,,
Renault	        Rodeo 6,,48,70,110,"23,8",36,145,класс A            внедорожник               Франция                     80                               1,9200 /,4
У,,"0,7","0,9","0,7","1,7","0,8",1,,,
Chevrolet     Impala Sport Coupe,,115,271,151,16,42,38,класс A             купе               США                     80                               1               комфорт,10 800 /,4
У,,"0,8",1,1,"2,6","0,8",1,,,
Renault	              5 Turbo,,160,221,204,"7,1",60,43,класс  B           хэтчбек               Франция                     80                               2                          hot hatch,16 800 /,3
Г,,"0,7","0,7",1,"1,4",1,"0,8",,,
Chevrolet	 Corvette L82 230HP,,230,373,207,"7,7",73,30,класс   B           купе               США                     80                               3,19 000 /,2
Г,,1,1,1,"1,4",1,"0,8",,,
Chevrolet	  Corvette Duntov Turbo Convertible,,300,408,219,"7,2",77,26,класс   C           купе               США                     80                               4               коллекция,27 600 /,1
Г,,"1,1","1,1","1,2","1,4",1,"0,8",,,
Porsche	           924 Rallye GT4,,210,260,241,"6,1",84,58,класс C             хэтчбек               Германия                       80                            5                          автоспорт                       hot hatch,30 000 /,1
В,,"1,1","1,2",1,"1,3",1,1,,,
Porsche            	935 K3,,600,639,338,"3,3",99,18,класс  R            купе               Германия                       80                            5                          автоспорт                   widow maker,48 000 /,1
С,,"0,7","0,6","0,9","0,5","1,6","0,8",,,
,ГАММА,,,,,,,,,
Ford 	        Capri GT4,,86,149,177,"11,2",66,45,класс A             хэтчбек               США                       80                             1,6700 /,4
Г,,"0,9",1,"0,8",2,"0,8","0,8",,,
Ford 	 Mustang,,88,160,162,"13,5",50,40,класс A             купе               США                     80                               1,9000 /,4
У,,"0,9","1,2",1,"2,4","0,8","0,8",,,
Citroen	              CX 2200,,128,193,191,"10,3",75,55,класс B             хэтчбек               Франция                       80                             2                 комфорт,11 500 /,3
У,,"0,8","0,9","0,7","1,8","0,7",1,,,
Porsche	           924,,150,190,215,"8,5",73,38,класс   B          хэтчбек               Германия                     80                               2,15 500 /,3
У,,"0,8","0,9","1,2","1,6",1,"0,8",,,
Chevrolet       	C30 Big Dooley Wrecker,,240,466,140,"16,9",10,95,класс B             внедорожник               США                     80                               3                            комфорт,20 000 /,2
У,,"0,8","1,2","0,5","1,1","0,7","1,2",,,
BMW	              M1,,277,330,262,"5,6",87,23,класс  C            купе               Германия                      80                               3,27 000 /,2
Г,,"1,1",1,1,"1,1",1,"0,8",,,
Ferrari                 400 GTi,,315,428,247,"6,9",86,37,класс  C            купе               Италия                      80                               3                               комфорт,32 500 /,2
Г,,"1,1",1,1,"1,4","0,8","0,8",,,
Chevrolet                          Mickey Thompson Off-Road Racing Truck,,447,624,195,"7,5",40,167,класс  D            внедорожник               США                      80                               5                              автоспорт,48 000 /,1
В,,"0,5",1,"0,6",1,1,"1,2",,,
,ДЕЛЬТА,,,,,,,,,
"Ford 	      Fiesta RS 1.6 ""Series X""",,90,127,172,10,61,33,класс   A           хэтчбек               США                       80                             1,7300 \,4
У,,"0,8","0,9","0,8",2,"0,8","0,8",,,
Renault	      Fuego GTL,,64,108,160,15,57,40,класс  A            хэтчбек               Франция                       80                             1,7400 /,4
У,,"0,7","0,8","0,8","2,1","0,8","0,8",,,
"Ford 	 Thunderbird ""Silver Anniversary""",,130,312,163,"12,9",45,43,класс  B            купе               США                     80                               2               комфорт,11 700 /,3
У,,1,"0,9","0,7","2,2","0,8",1,,,
Ford 	  Mustang Cobra Turbo,,152,238,195,"8,9",50,40,класс B             купе               США                     80                               2,12 000 /,3
Г,,"0,9","1,1","0,9","1,8",1,"0,8",,,
Ferrari	   Mondial 8,,209,242,230,"8,2",88,35,класс  B            купе               Италия                     80                              2,23 500 /,3
Г,,"0,9",1,1,"1,4",1,"0,7",,,
Renault	             5 Turbo Group 4,,180,232,209,"6,7",81,29,класс  B            хэтчбек               Франция                       80                            5                          автоспорт                       hot hatch,25 000 /,1
Г,,"0,8","0,7",1,"1,3",1,"0,8",,,
BMW	            M1 Procar,,470,390,310,"4,5",92,20,класс D             купе               Германия                      80                               3,33 000 /,2
Г,,"0,8",1,"0,9","0,8","1,4","0,6",,,
Porsche 	            924 GTP,,320,344,258,"4,9",94,27,класс  C            хэтчбек               Германия                       80                            5                          автоспорт,41 300 /,1
Г,,"0,9",1,1,"0,9",1,"0,8",,,
Ferrari	           308 GTB Turbo Group 5 by Carma,,750,621,349,"3,2",100,17,класс  R            купе               Италия                      80                               5                       автоспорт,50 000 /,1
С,,"0,6","0,5","0,8","0,4","1,4","0,6",,,
,1982,,,,,,,,,
,АЛЬФА,,,,,,,,,
Renault	             11,,49,79,139,"21,2",46,37,класс  A            седан               Франция                       80                             1,4600 /,4
У,,"0,8","0,8",1,"2,5","0,8","0,8",,,
Renault	               18,,105,157,185,"11,5",48,45,класс  A            седан               Франция                       80                             1,8500 /,4
У,,"0,7","0,8",1,2,"0,8",1,,,
BMW	             315,,75,110,154,"14,8",78,34,класс A             седан              Германия                     80                               1,8600 /,4
У,,"0,9","0,8","1,2","2,4","0,8","0,8",,,
Ford 	       Bronco,,135,301,135,"18,6",30,181,класс B             внедорожник               США                     80                               2,16 900 /,3
В,,1,1,"0,6","1,6","0,8",1,,,
Renault	    Alpine A 310 V6,,170,203,225,"7,5",90,34,класс B             купе               Франция                     80                               2,17 000 /,3
Г,,"0,9",1,"1,2","1,4",1,"0,8",,,
Renault	               Le Car Turbo IMSA,,185,222,214,"7,8",74,20,класс  B            хэтчбек               Франция                       80                             5                      автоспорт,24 000 /,1
С,,"0,8","0,8","0,9","1,7",1,"0,6",,,
Chevrolet	  Corvette,,355,488,240,"6,4",70,38,класс C             купе               США                      80                               3,24 600 /,2
Г,,1,"1,1","1,3","1,4",1,"0,8",,,
Lamborghini	 LM 001,,332,426,188,"7,8",27,148,класс  C            внедорожник               Италия                     80                              5                  коллекция,37 000 /,1
В,,1,"1,2","0,5","0,8","0,7","1,2",,,
BMW	                B7 S Turbo Coupe,,330,500,275,"5,8",82,32,класс  D            купе               Германия                      80                               4                    комфорт,38 400 /,1
Г,,1,"0,8",1,"1,1","0,9","0,8",,,
,БЕТА,,,,,,,,,
Ford 	       Sierra,,75,123,165,"14,1",57,43,класс  A            седан               США                       80                             1,5300 /,4
У,,"0,9","0,9",1,"2,3","0,8","0,8",,,
Renault	        Rodeo 5,,48,77,118,"22,4",40,87,класс A             внедорожник               Франция                     80                               1,8000 /,4
У,,"0,7","0,7","0,6",2,"0,7","1,2",,,
Ford 	      Escort RS1600i,,115,148,191,9,64,36,класс  B            хэтчбек               США                       80                             1                                hot hatch,8800 /,4
,,"0,9","0,9","0,8","1,8",1,"0,8",,,
Ford 	       Ranger,,115,220,140,"18,8",32,174,класс B             внедорожник               США                     80                               2,15 800 /,3
В,,1,"1,2","0,6","1,6","0,8",1,,,
Chevrolet	 Camaro Z28,,192,380,200,"8,5",64,33,класс  B            купе               США                     80                               2                muscle car,17 700 /,3
Г,,"1,1",1,"1,1","1,6",1,"0,8",,,
BMW	          Alpina B9 3.5 Coupe/1,,245,320,240,"6,7",78,30,класс  C           купе             Германия                      80                               3                               комфорт,22 300 /,2
Г,,"1,2",1,1,"1,4",1,"0,8",,,
Lamborghini	 Jalpa P 350,,258,305,249,"6,4",92,29,класс  C            купе               Италия                     80                              3,24 700 /,2
Г,,1,1,"1,1","1,5",1,"0,8",,,
Lamborghini        Countach LP 500S,,375,410,290,5,90,26,класс D             купе               Италия                     80                              3,34 000 /,2
Г,,1,1,"1,1",1,"1,2","0,8",,,
Lamborghini	LMA 002,,332,426,185,"7,7",29,160,класс  D            внедорожник               Италия                     80                              5                  коллекция,39 000 /,1
В,,1,"1,2","0,6","0,9","0,8","1,2",,,
,ГАММА,,,,,,,,,
Renault               	5,,60,102,158,"14,8",51,43,класс A             хэтчбек               Франция                       80                             1,5500 /,4
У,,"0,7","0,8","0,9","2,3",1,"0,8",,,
Citroen	          Visa II Chrono,,93,125,173,10,72,39,класс A             хэтчбек               Франция                       80                             2                                hot hatch,7900 /,3
У,,"0,8","0,9","0,8",2,"0,8","0,8",,,
Renault	              18 Turbo MT,,119,181,187,10,50,45,класс  A            седан               Франция                       80                            1,9100 /,4
У,,"0,9","0,8",1,"1,8","0,8","0,8",,,
Chevrolet	           S-10 Sport,,110,201,158,"16,7",34,100,класс  B            внедорожник               США                     80                               2,12 500 /,3
У,,1,"1,2","0,6","1,6","0,8","1,2",,,
Porsche 	            944,,163,205,220,"7,4",81,36,класс B             хэтчбек               Германия                     80                               2                комфорт,18 000 /,3
У,,"0,9","0,9","1,1","1,4",1,"0,8",,,
Ferrari	           308 GTSi,,240,260,254,"7,2",90,34,класс C             купе               Италия                     80                              2,22 200 /,3
Г,,1,"0,9","1,1","1,5",1,"0,8",,,
